Countries,Total Cases,New Cases,Total Recovered,Active Cases,Total Cases Per Million,Death per million,Total Deaths,New Deaths
Eswatini,36,5,10,25,31,0.9,1,0
Mongolia,36,1,9,27,11,0,0,0
Malawi,33,0,4,26,2,0.2,3,0
Zimbabwe,29,1,2,23,2,0.3,4,0
Angola,25,0,6,17,0.8,0.06,2,0
Antigua and Barbuda,24,0,11,10,245,31,3,0
Timor-Leste,24,1,2,22,18,0,0,0
Botswana,22,0,0,21,9,0.4,1,0
Laos,19,0,4,15,3,0,0,0
Belize,18,0,5,11,45,5,2,0
Fiji,18,0,10,8,20,0,0,0
New Caledonia,18,0,17,1,63,0,0,0
Curaçao,16,2,11,4,98,6,1,0
CAR,16,0,10,6,3,0,0,0
Dominica,16,0,10,6,222,0,0,0
Namibia,16,0,7,9,6,0,0,0
Grenada,15,0,7,8,133,0,0,0
Saint Kitts and Nevis,15,0,2,13,282,0,0,0
Saint Lucia,15,0,15,0,82,0,0,0
St. Vincent Grenadines,14,1,5,9,126,0,0,0
Falkland Islands,12,0,11,1,3448,0,0,0
Nicaragua,11,0,7,1,2,0.5,3,0
Burundi,11,0,4,6,0.9,0.08,1,0
Turks and Caicos,11,0,4,6,284,26,1,0
Greenland,11,0,11,0,194,0,0,0
Montserrat,11,0,2,9,2204,0,0,0
Seychelles,11,0,6,5,112,0,0,0
Gambia,10,0,8,1,4,0.4,1,0
Suriname,10,0,7,2,17,2,1,0
MS Zaandam,9,0,0,7,0,0,2,0
Vatican City,9,0,2,7,11236,0,0,0
Papua New Guinea,8,0,0,8,0.9,0,0,0
Mauritania,7,0,6,0,2,0.2,1,0
Bhutan,7,0,3,4,9,0,0,0
St. Barth,6,0,6,0,607,0,0,0
Western Sahara,6,0,5,1,10,0,0,0
British Virgin Islands,5,0,3,1,165,33,1,0
Caribbean Netherlands,5,0,0,5,191,0,0,0
South Sudan,5,1,0,5,0.4,0,0,0
Sao Tome and Principe,4,0,0,4,18,0,0,0
Anguilla,3,0,1,2,200,0,0,0
Saint Pierre Miquelon,1,0,0,1,173,0,0,0
Yemen,1,0,1,0,0.03,0,0,0
China,82804,6,77257,915,58,3,4632,0
USA,925232,38958,110432,762607,2795,158,52193,1959
Spain,219764,6740,92355,104885,4700,482,22524,367
Italy,192994,3021,60498,106527,3192,430,25969,420
France,159828,1645,43493,94090,2449,341,22245,389
Germany,154999,1870,106800,42439,1850,69,5760,185
UK,143464,5386,0,123614,2113,287,19506,768
Turkey,104912,3122,21737,80575,1244,31,2600,109
Iran,88194,1168,66599,16021,1050,66,5574,93
Russia,68622,5849,5568,62439,470,4,615,60
Brazil,52995,3503,27655,21670,249,17,3670,357
Belgium,44293,1496,10122,27492,3822,576,6679,189
Canada,43888,1778,15469,26117,1163,61,2302,155
Netherlands,36535,806,0,31996,2132,250,4289,112
Switzerland,28677,181,21000,6088,3313,184,1589,40
India,24447,1408,5496,18171,18,0.6,780,59
Portugal,22797,444,1228,20715,2236,84,854,34
Ecuador,22719,11536,1366,20777,1288,33,576,16
Peru,21648,734,7496,13518,657,19,634,62
Ireland,18184,577,9233,7937,3683,205,1014,220
Sweden,17567,812,550,14865,1739,213,2152,131
Saudi Arabia,15102,1172,2049,12926,434,4,127,6
Austria,15071,69,11872,2669,1673,59,530,8
Israel,15058,255,6003,8861,1740,22,194,2
Japan,12712,344,1530,10837,101,3,345,17
Chile,12306,494,6327,5805,644,9,174,6
Singapore,12075,897,956,11107,2064,2,12,0
Pakistan,11940,883,2755,8932,54,1,253,18
Mexico,11633,1089,2627,7937,90,8,1069,99
Poland,10892,381,1944,8454,288,13,494,40
S. Korea,10708,6,8501,1967,209,5,240,0
Romania,10417,321,2817,7033,541,29,567,22
UAE,9281,525,1760,7457,938,6,64,8
Belarus,8773,751,1120,7590,928,7,63,3
Qatar,8525,761,809,7706,2959,3,10,0
Indonesia,8211,436,1002,6520,30,3,689,42
Denmark,8210,137,5526,2281,1417,70,403,9
Ukraine,7647,477,601,6853,175,4,193,6
Serbia,7483,207,1094,6245,856,16,144,5
Norway,7463,62,32,7232,1377,37,199,5
Czechia,7273,86,2371,4688,679,20,214,4
Philippines,7192,211,762,5953,66,4,477,15
Australia,6675,8,5136,1460,262,3,79,4
Dominican Republic,5749,206,763,4719,530,25,267,2
Malaysia,5691,88,3663,1932,176,3,96,1
Panama,5166,174,271,4749,1197,34,146,2
Colombia,4881,320,1003,3653,96,4,225,10
Bangladesh,4689,503,112,4446,28,0.8,131,4
Finland,4395,111,2500,1718,793,32,177,5
South Africa,4220,267,1473,2668,71,1,79,4
Egypt,4092,201,1075,2723,40,3,294,7
Morocco,3758,190,486,3114,102,4,158,3
Luxembourg,3695,30,3007,603,5903,136,85,2
Argentina,3607,172,976,2455,80,4,176,11
Algeria,3127,120,1408,1304,71,9,415,8
Moldova,3110,184,755,2271,771,21,84,4
Thailand,2854,15,2490,314,41,0.7,50,0
Kuwait,2614,215,613,1986,612,4,15,1
Bahrain,2518,301,1113,1397,1480,5,8,0
Greece,2490,27,577,1783,239,12,130,5
Kazakhstan,2416,127,604,1787,129,1,25,5
Hungary,2383,99,401,1732,247,26,250,11
Croatia,2009,28,982,976,489,12,51,1
Uzbekistan,1804,46,621,1175,54,0.2,8,1
Oman,1790,74,325,1455,351,2,10,1
Iceland,1789,0,1542,237,5243,29,10,0
Iraq,1708,31,1204,418,42,2,86,3
Estonia,1605,13,206,1353,1210,35,46,1
Armenia,1596,73,728,841,539,9,27,3
Azerbaijan,1592,44,1013,558,157,2,21,1
New Zealand,1456,5,1095,344,302,4,17,1
Cameroon,1430,96,668,719,54,2,43,0
Bosnia and Herzegovina,1421,8,538,828,433,17,55,1
Lithuania,1410,12,430,940,518,15,40,0
Slovenia,1373,7,211,1082,660,38,80,1
Slovakia,1360,35,355,988,249,3,17,2
Afghanistan,1351,72,188,1120,35,1,43,1
North Macedonia,1326,26,337,932,636,27,57,1
Cuba,1285,50,416,820,113,4,49,6
Ghana,1279,125,134,1135,41,0.3,10,1
Bulgaria,1188,91,193,941,171,8,54,2
Nigeria,1095,114,208,855,5,0.2,32,1
Ivory Coast,1077,73,419,644,41,0.5,14,0
Hong Kong,1036,0,725,307,138,0.5,4,0
Djibouti,999,13,330,667,1011,2,2,0
Guinea,954,92,191,757,73,0.5,6,0
Tunisia,922,4,194,690,78,3,38,0
Cyprus,804,9,98,692,666,12,14,1
Latvia,784,6,267,505,416,6,12,1
Andorra,731,8,344,347,9461,518,40,3
Diamond Princess,712,0,645,54,0,0,13,0
Bolivia,703,31,44,616,60,4,43,3
Lebanon,696,8,140,534,102,3,22,0
Costa Rica,687,1,216,465,135,1,6,0
Niger,681,10,289,368,28,1,24,0
Albania,678,15,394,257,236,9,27,0
Kyrgyzstan,656,25,322,326,101,1,8,0
Burkina Faso,629,13,425,163,30,2,41,0
Uruguay,563,14,369,182,162,3,12,0
Honduras,562,43,50,465,57,5,47,0
Senegal,545,66,262,276,33,0.4,7,1
Channel Islands,523,2,295,194,3008,196,34,5
San Marino,513,12,64,409,15119,1179,40,0
Palestine,484,4,92,388,95,0.8,4,0
Malta,447,2,223,221,1012,7,3,0
Georgia,444,19,132,307,111,1,5,0
Jordan,441,4,326,108,43,0.7,7,0
Taiwan,428,1,264,158,18,0.3,6,0
Sri Lanka,417,49,109,301,19,0.3,7,0
Réunion,412,0,300,112,460,0,0,0
DRC,394,17,48,321,4,0.3,25,0
Guatemala,384,42,30,343,21,0.6,11,1
Mayotte,354,28,144,206,1298,15,4,0
Kenya,336,16,94,228,6,0.3,14,0
Mauritius,331,0,285,37,260,7,9,0
Somalia,328,0,8,304,21,1,16,0
Mali,325,16,87,217,16,1,21,0
Montenegro,319,3,123,190,508,10,6,1
Venezuela,318,20,132,176,11,0.4,10,0
Isle of Man,308,1,230,60,3622,212,18,2
Tanzania,299,15,48,241,5,0.2,10,0
Vietnam,270,2,220,50,3,0,0,0
El Salvador,261,11,72,181,40,1,8,0
Jamaica,257,5,28,222,87,2,7,1
Paraguay,220,7,70,141,31,1,9,0
Equatorial Guinea,214,5,7,206,153,0.7,1,0
Congo,200,14,19,175,36,1,6,0
Faeroe Islands,187,0,178,9,3827,0,0,0
Rwanda,176,22,87,89,14,0,0,0
Sudan,174,12,14,144,4,0.4,16,3
Gabon,172,5,26,143,77,1,3,1
Martinique,170,6,77,79,453,37,14,0
Guadeloupe,149,1,82,55,372,30,12,0
Myanmar,144,12,9,130,3,0.09,5,0
Brunei ,138,0,120,17,315,2,1,0
Gibraltar,133,0,131,2,3948,0,0,0
Maldives,129,21,16,113,239,0,0,0
Cambodia,122,0,117,5,7,0,0,0
Madagascar,122,1,61,61,4,0,0,0
Liberia,117,16,25,84,23,2,8,0
Ethiopia,117,1,25,89,1,0.03,3,0
Trinidad and Tobago,115,0,48,59,82,6,8,0
French Guiana,111,4,87,23,372,3,1,0
Aruba,100,0,69,29,937,19,2,0
Bermuda,99,0,39,55,1590,80,5,0
Monaco,94,0,41,49,2395,102,4,0
Togo,90,2,59,25,11,0.7,6,0
Cabo Verde,88,6,1,86,158,2,1,0
Zambia,84,8,37,44,5,0.2,3,0
Sierra Leone,82,18,10,70,10,0.3,2,1
Liechtenstein,81,0,55,25,2124,26,1,0
Barbados,77,1,31,40,268,21,6,0
Uganda,75,1,46,29,2,0,0,0
Sint Maarten,73,0,22,39,1703,280,12,0
Bahamas,73,1,15,47,186,28,11,0
Guyana,73,3,12,54,93,9,7,0
Haiti,72,0,2,65,6,0.4,5,0
Cayman Islands,70,4,8,61,1065,15,1,0
Mozambique,65,19,12,53,2,0,0,0
Libya,61,1,18,41,9,0.3,2,0
French Polynesia,57,0,41,16,203,0,0,0
Benin,54,0,27,26,4,0.08,1,0
Guinea-Bissau,52,2,3,49,26,0,0,0
Nepal,49,1,10,39,2,0,0,0
Macao,45,0,27,18,69,0,0,0
Syria,42,0,6,33,2,0.2,3,0
Chad,40,7,8,32,2,0,0,0
Eritrea,39,0,11,28,11,0,0,0
Saint Martin,38,0,24,11,983,78,3,1
Eswatini,36,5,10,25,31,0.9,1,0
Mongolia,36,1,9,27,11,0,0,0
Malawi,33,0,4,26,2,0.2,3,0
Zimbabwe,29,1,2,23,2,0.3,4,0
Angola,25,0,6,17,0.8,0.06,2,0
Antigua and Barbuda,24,0,11,10,245,31,3,0
Timor-Leste,24,1,2,22,18,0,0,0
Botswana,22,0,0,21,9,0.4,1,0
Laos,19,0,4,15,3,0,0,0
Belize,18,0,5,11,45,5,2,0
Fiji,18,0,10,8,20,0,0,0
New Caledonia,18,0,17,1,63,0,0,0
Curaçao,16,2,11,4,98,6,1,0
CAR,16,0,10,6,3,0,0,0
Dominica,16,0,10,6,222,0,0,0
Namibia,16,0,7,9,6,0,0,0
Grenada,15,0,7,8,133,0,0,0
Saint Kitts and Nevis,15,0,2,13,282,0,0,0
Saint Lucia,15,0,15,0,82,0,0,0
St. Vincent Grenadines,14,1,5,9,126,0,0,0
Falkland Islands,12,0,11,1,3448,0,0,0
Nicaragua,11,0,7,1,2,0.5,3,0
Burundi,11,0,4,6,0.9,0.08,1,0
Turks and Caicos,11,0,4,6,284,26,1,0
Greenland,11,0,11,0,194,0,0,0
Montserrat,11,0,2,9,2204,0,0,0
Seychelles,11,0,6,5,112,0,0,0
Gambia,10,0,8,1,4,0.4,1,0
Suriname,10,0,7,2,17,2,1,0
MS Zaandam,9,0,0,7,0,0,2,0
Vatican City,9,0,2,7,11236,0,0,0
Papua New Guinea,8,0,0,8,0.9,0,0,0
Mauritania,7,0,6,0,2,0.2,1,0
Bhutan,7,0,3,4,9,0,0,0
St. Barth,6,0,6,0,607,0,0,0
Western Sahara,6,0,5,1,10,0,0,0
British Virgin Islands,5,0,3,1,165,33,1,0
Caribbean Netherlands,5,0,0,5,191,0,0,0
South Sudan,5,1,0,5,0.4,0,0,0
Sao Tome and Principe,4,0,0,4,18,0,0,0
Anguilla,3,0,1,2,200,0,0,0
Saint Pierre Miquelon,1,0,0,1,173,0,0,0
Yemen,1,0,1,0,0.03,0,0,0
China,82830,3,77474,723,58,3,4633,1
USA,1010356,23196,138990,814569,3052,172,56797,1384
Spain,229422,2793,120832,85069,4907,503,23521,331
Italy,199414,1739,66624,105813,3298,446,26977,333
France,163273,1173,45513,94467,2501,357,23293,437
Germany,158758,988,114500,38132,1895,73,6126,150
UK,157149,4309,0,135713,2315,311,21092,360
Turkey,112261,2131,33791,75570,1331,34,2900,95
Iran,91472,991,70933,14733,1089,69,5806,96
Russia,87147,6198,7346,79007,597,5,794,47
Brazil,66501,3642,31142,30816,313,21,4543,272
Canada,48500,1605,18268,27525,1285,72,2707,147
Belgium,46687,553,10878,28602,4028,622,7207,113
Netherlands,38245,400,0,33477,2232,264,4518,43
India,29451,1561,7137,21375,21,0.7,939,58
Switzerland,29164,103,22200,5299,3370,192,1665,55
Peru,28699,1182,8425,19492,870,24,782,54
Portugal,24027,163,1357,21742,2356,91,928,25
Ecuador,23240,521,1557,21020,1317,38,663,87
Ireland,19648,386,9233,9313,3979,223,1102,15
Sweden,18926,286,1005,15647,1874,225,2274,80
Saudi Arabia,18811,1289,2531,16136,540,4,144,5
Israel,15555,112,7200,8151,1797,24,204,3
Austria,15274,49,12362,2363,1696,61,549,7
Mexico,14677,835,8354,4972,114,10,1351,46
Singapore,14423,799,1095,13314,2465,2,14,2
Pakistan,13915,587,3029,10594,63,1,292,11
Chile,13813,482,7327,6288,723,10,198,9
Japan,13614,165,1899,11330,108,3,385,13
Poland,11902,285,2466,8874,314,15,562,27
Romania,11339,303,3141,7557,589,33,641,22
Belarus,11289,826,1740,9474,1195,8,75,3
Qatar,11244,957,1066,10168,3903,3,10,0
UAE,10839,490,2090,8667,1096,8,82,6
S. Korea,10738,10,8764,1731,209,5,243,1
Indonesia,9096,214,1151,7180,33,3,765,22
Ukraine,9009,392,864,7925,206,5,220,11
Denmark,8698,123,5959,2312,1502,74,427,5
Serbia,8275,233,1209,6904,947,19,162,6
Philippines,7777,198,932,6334,71,5,511,10
Norway,7599,72,32,7362,1402,38,205,4
Czechia,7445,41,2826,4396,695,21,223,3
Australia,6720,4,5586,1051,264,3,83,0
Dominican Republic,6293,158,993,5018,580,26,282,4
Bangladesh,5913,497,131,5630,36,0.9,152,7
Malaysia,5820,40,3957,1764,180,3,99,1
Panama,5779,241,369,5245,1339,38,165,6
Colombia,5597,218,1210,4134,110,5,253,9
South Africa,4793,247,1473,3230,81,2,90,3
Egypt,4782,248,1236,3209,47,3,337,20
Finland,4695,119,2500,2002,847,35,193,3
Morocco,4120,55,695,3263,112,4,162,1
Argentina,4003,111,1140,2666,89,4,197,5
Luxembourg,3729,6,3123,518,5957,141,88,0
Algeria,3517,135,1558,1527,80,10,432,7
Moldova,3481,73,925,2454,863,25,102,6
Kuwait,3288,213,1012,2254,770,5,22,2
Thailand,2931,9,2609,270,42,0.7,52,1
Kazakhstan,2835,118,720,2090,151,1,25,0
Bahrain,2723,76,1218,1497,1600,5,8,0
Hungary,2583,83,498,1805,267,29,280,8
Greece,2534,17,577,1821,243,13,136,2
Oman,2049,51,364,1675,401,2,10,0
Croatia,2039,9,1166,814,497,14,59,4
Uzbekistan,1904,35,892,1004,57,0.2,8,0
Iraq,1847,27,1286,473,46,2,88,1
Armenia,1808,62,848,931,610,10,29,1
Iceland,1792,0,1624,158,5251,29,10,0
Cameroon,1705,84,805,842,64,2,58,2
Afghanistan,1703,172,220,1426,44,1,57,7
Azerbaijan,1678,33,1162,494,165,2,22,1
Estonia,1647,4,233,1364,1242,38,50,1
Bosnia and Herzegovina,1565,49,659,846,477,18,60,1
Ghana,1550,0,155,1384,50,0.4,11,0
New Zealand,1469,0,1180,270,305,4,19,1
Lithuania,1449,11,474,934,532,15,41,0
Slovenia,1402,6,221,1098,674,40,83,1
North Macedonia,1399,13,553,781,672,31,65,4
Cuba,1389,20,525,808,123,5,56,2
Slovakia,1381,2,403,960,253,3,18,0
Bulgaria,1363,63,206,1099,196,8,58,2
Nigeria,1337,64,255,1042,6,0.2,40,0
Ivory Coast,1164,14,499,651,44,0.5,14,0
Guinea,1163,167,246,910,89,0.5,7,0
Hong Kong,1038,0,787,247,138,0.5,4,0
Djibouti,1035,12,477,556,1048,2,2,0
Tunisia,967,18,279,649,82,3,39,1
Bolivia,950,84,80,820,81,4,50,4
Cyprus,822,5,148,659,681,12,15,1
Latvia,818,6,267,538,434,7,13,1
Andorra,743,5,385,318,9616,518,40,0
Albania,736,10,422,286,256,10,28,0
Senegal,736,65,284,443,44,0.5,9,0
Diamond Princess,712,0,645,54,0,0,13,0
Lebanon,710,3,145,541,104,4,24,0
Niger,701,5,385,287,29,1,29,0
Costa Rica,697,2,287,404,137,1,6,0
Kyrgyzstan,695,13,395,292,107,1,8,0
Honduras,661,34,79,521,67,6,61,2
Burkina Faso,635,3,469,124,30,2,42,0
Uruguay,606,10,375,216,174,4,15,1
Sri Lanka,588,65,126,455,27,0.3,7,0
San Marino,538,0,64,433,15856,1208,41,0
Channel Islands,525,0,352,138,3020,201,35,0
Guatemala,500,27,49,436,28,0.8,15,2
Georgia,497,11,156,335,125,2,6,0
Somalia,480,44,10,444,30,2,26,3
DRC,459,17,50,381,5,0.3,28,0
Malta,450,2,286,160,1019,9,4,0
Jordan,449,2,342,100,44,0.7,7,0
Taiwan,429,0,290,133,18,0.3,6,0
Réunion,418,1,300,118,467,0,0,0
Mali,408,19,113,272,20,1,23,0
Mayotte,401,0,144,253,1470,15,4,0
Kenya,363,8,114,235,7,0.3,14,0
Jamaica,350,45,28,315,118,2,7,0
Palestine,342,0,83,257,67,0.4,2,0
Mauritius,334,2,302,22,263,8,10,1
Venezuela,329,4,142,177,12,0.4,10,0
El Salvador,323,25,89,226,50,1,8,0
Montenegro,321,0,189,125,511,11,7,0
Isle of Man,308,0,248,40,3622,235,20,2
Tanzania,299,0,48,241,5,0.2,10,0
Sudan,275,38,21,232,6,0.5,22,1
Vietnam,270,0,225,45,3,0,0,0
Equatorial Guinea,258,0,9,248,184,0.7,1,0
Paraguay,228,0,93,126,32,1,9,0
Maldives,226,12,17,209,418,0,0,0
Gabon,211,35,43,165,95,1,3,0
Congo,207,7,19,180,38,1,8,0
Rwanda,207,16,93,114,16,0,0,0
Faeroe Islands,187,0,178,9,3827,0,0,0
Martinique,175,0,77,84,466,37,14,0
Guadeloupe,149,0,82,55,372,30,12,0
Myanmar,146,0,16,125,3,0.09,5,0
Gibraltar,141,0,131,10,4185,0,0,0
Brunei ,138,0,124,13,315,2,1,0
Madagascar,128,4,75,53,5,0,0,0
Liberia,124,0,25,87,25,2,12,0
Ethiopia,124,1,50,71,1,0.03,3,0
Cambodia,122,0,119,3,7,0,0,0
Trinidad and Tobago,116,1,59,49,83,6,8,0
French Guiana,111,0,87,23,372,3,1,0
Bermuda,110,1,44,60,1766,96,6,1
Cabo Verde,109,3,1,107,196,2,1,0
Aruba,100,0,73,25,937,19,2,0
Sierra Leone,99,6,10,85,12,0.5,4,0
Togo,98,0,62,30,12,0.7,6,0
Monaco,95,1,42,49,2421,102,4,0
Zambia,89,1,42,44,5,0.2,3,0
Liechtenstein,82,0,55,26,2151,26,1,0
Bahamas,80,0,22,47,203,28,11,0
Barbados,80,1,39,35,278,21,6,0
Uganda,79,0,47,32,2,0,0,0
Mozambique,76,0,12,64,2,0,0,0
Sint Maarten,74,0,33,28,1726,303,13,0
Guyana,74,0,15,51,94,10,8,0
Haiti,74,0,7,61,6,0.5,6,0
Guinea-Bissau,73,20,18,54,37,0.5,1,0
Cayman Islands,70,0,8,61,1065,15,1,0
Eswatini,65,6,10,54,56,0.9,1,0
Benin,64,0,33,30,5,0.08,1,0
Libya,61,0,18,41,9,0.3,2,0
French Polynesia,58,1,49,9,206,0,0,0
Nepal,52,0,16,36,2,0,0,0
CAR,50,9,10,40,10,0,0,0
Chad,46,0,15,31,3,0,0,0
Macao,45,0,32,13,69,0,0,0
Syria,43,0,19,21,2,0.2,3,0
Eritrea,39,0,13,26,11,0,0,0
Saint Martin,38,0,24,11,983,78,3,0
Mongolia,38,0,10,28,12,0,0,0
Malawi,36,2,4,29,2,0.2,3,0
Zimbabwe,31,0,5,22,2,0.3,4,0
Angola,27,1,6,19,0.8,0.06,2,0
Antigua and Barbuda,24,0,11,10,245,31,3,0
Timor-Leste,24,0,2,22,18,0,0,0
Botswana,22,0,0,21,9,0.4,1,0
Laos,19,0,7,12,3,0,0,0
Belize,18,0,6,10,45,5,2,0
Fiji,18,0,12,6,20,0,0,0
Grenada,18,0,7,11,160,0,0,0
New Caledonia,18,0,17,1,63,0,0,0
Curaçao,16,0,11,4,98,6,1,0
Dominica,16,0,13,3,222,0,0,0
Namibia,16,0,8,8,6,0,0,0
Saint Kitts and Nevis,15,0,2,13,282,0,0,0
Saint Lucia,15,0,15,0,82,0,0,0
St. Vincent Grenadines,15,1,5,10,135,0,0,0
Nicaragua,13,0,7,3,2,0.5,3,0
Falkland Islands,13,0,11,2,3736,0,0,0
Turks and Caicos,12,1,5,6,310,26,1,0
Burundi,11,0,4,6,0.9,0.08,1,0
Montserrat,11,0,2,8,2204,200,1,0
Greenland,11,0,11,0,194,0,0,0
Seychelles,11,0,6,5,112,0,0,0
Gambia,10,0,8,1,4,0.4,1,0
Suriname,10,0,7,2,17,2,1,0
MS Zaandam,9,0,0,7,0,0,2,0
Vatican City,9,0,2,7,11236,0,0,0
Papua New Guinea,8,0,0,8,0.9,0,0,0
Mauritania,7,0,6,0,2,0.2,1,0
Bhutan,7,0,4,3,9,0,0,0
British Virgin Islands,6,0,3,2,198,33,1,0
St. Barth,6,0,6,0,607,0,0,0
South Sudan,6,0,0,6,0.5,0,0,0
Western Sahara,6,0,5,1,10,0,0,0
Caribbean Netherlands,5,0,0,5,191,0,0,0
Sao Tome and Principe,4,0,0,4,18,0,0,0
Anguilla,3,0,3,0,200,0,0,0
Saint Pierre Miquelon,1,0,0,1,173,0,0,0
Yemen,1,0,1,0,0.03,0,0,0
China,82862,4,77610,619,58,3,4633,0
USA,1095023,30829,152324,878843,3308,193,63856,2201
Spain,239639,2740,137984,77112,5125,525,24543,268
Italy,205463,1872,75945,101551,3398,463,27967,285
UK,171253,6032,0,144138,2523,394,26771,674
France,167178,758,49476,93326,2561,373,24376,289
Germany,163009,1470,123500,32886,1946,79,6623,156
Turkey,120204,2615,48886,68144,1425,38,3174,93
Russia,106498,7099,11619,93806,730,7,1073,101
Iran,94640,983,75103,13509,1127,72,6028,71
Brazil,85380,6019,35935,43544,402,28,5901,390
Canada,53236,1639,21423,28629,1411,84,3184,188
Belgium,48519,660,11576,29349,4186,655,7594,93
Netherlands,39316,514,0,34271,2295,280,4795,84
Peru,36976,3045,10405,25520,1121,32,1051,108
India,34863,1801,9068,24641,25,0.8,1154,75
Switzerland,29586,179,23400,4449,3419,201,1737,21
Portugal,25045,540,1519,22537,2456,97,989,16
Ecuador,24934,259,1558,22476,1413,51,900,17
Saudi Arabia,22753,1351,3163,19428,654,5,162,5
Sweden,21092,790,1005,17501,2088,256,2586,124
Ireland,20612,359,13386,5994,4174,250,1232,42
Mexico,17799,1047,11423,4644,138,13,1732,163
Pakistan,16473,948,4105,12007,75,2,361,18
Singapore,16169,528,1244,14910,2764,3,15,1
Chile,16023,1138,8580,7216,838,12,227,11
Israel,15946,112,8561,7163,1842,26,222,7
Austria,15452,50,12907,1961,1716,65,584,4
Japan,14088,193,2460,11198,111,3,430,17
Belarus,14027,846,2386,11552,1484,9,89,5
Qatar,13409,845,1372,12027,4654,3,10,0
Poland,12877,237,3236,8997,340,17,644,20
UAE,12481,552,2429,9947,1262,11,105,7
Romania,12240,262,4017,7506,636,37,717,24
S. Korea,10765,4,9059,1459,210,5,247,1
Ukraine,10406,540,1238,8907,238,6,261,11
Indonesia,10118,347,1522,7804,37,3,792,8
Denmark,9158,150,6546,2160,1581,78,452,9
Serbia,9009,285,1343,7487,1031,20,179,6
Philippines,8488,276,1043,6877,77,5,568,10
Norway,7738,28,32,7496,1427,39,210,3
Czechia,7682,103,3314,4132,717,22,236,9
Bangladesh,7667,564,160,7339,47,1,168,5
Dominican Republic,6972,320,1301,5370,643,28,301,8
Australia,6754,8,5715,947,265,4,92,3
Colombia,6507,300,1439,4775,128,6,293,15
Panama,6378,178,527,5673,1478,41,178,2
Malaysia,6002,57,4171,1729,185,3,102,2
South Africa,5647,297,2073,3471,95,2,103,0
Egypt,5537,269,1381,3764,54,4,392,12
Finland,4995,89,3000,1784,902,38,211,5
Argentina,4428,143,1256,2954,98,5,218,4
Morocco,4423,102,984,3269,120,5,170,2
Kuwait,4024,284,1539,2459,942,6,26,2
Algeria,4006,158,1779,1777,91,10,450,6
Moldova,3897,126,1182,2599,966,29,116,5
Luxembourg,3784,15,3213,481,6045,144,90,1
Kazakhstan,3402,264,866,2511,181,1,25,0
Bahrain,3040,119,1500,1532,1787,5,8,0
Thailand,2954,7,2687,213,42,0.8,54,0
Hungary,2775,48,581,1882,287,32,312,12
Greece,2591,15,1374,1077,249,13,140,1
Oman,2348,74,495,1842,460,2,11,1
Afghanistan,2171,232,260,1847,56,2,64,4
Iraq,2085,82,1375,617,52,2,93,1
Croatia,2076,14,1348,659,506,17,69,2
Ghana,2074,403,212,1845,67,0.5,17,1
Armenia,2066,134,929,1105,697,11,32,2
Uzbekistan,2039,37,1133,897,61,0.3,9,0
Nigeria,1932,204,319,1555,9,0.3,58,7
Cameroon,1832,0,934,837,69,2,61,0
Azerbaijan,1804,38,1325,455,178,2,24,1
Iceland,1797,0,1670,117,5266,29,10,0
Bosnia and Herzegovina,1757,80,727,961,536,21,69,4
Estonia,1689,23,249,1388,1273,39,52,2
Bulgaria,1506,59,266,1174,217,9,66,2
Cuba,1501,34,681,759,133,5,61,3
Guinea,1495,144,329,1159,114,0.5,7,0
New Zealand,1476,2,1241,216,306,4,19,0
North Macedonia,1465,23,738,650,703,37,77,4
Slovenia,1429,11,233,1105,687,44,91,2
Slovakia,1396,5,524,849,256,4,23,1
Lithuania,1385,10,589,751,509,17,45,0
Ivory Coast,1275,37,574,687,48,0.5,14,0
Bolivia,1110,57,117,934,95,5,59,4
Djibouti,1089,12,642,445,1102,2,2,0
Hong Kong,1038,0,846,188,138,0.5,4,0
Tunisia,994,14,305,648,84,3,41,1
Senegal,933,51,334,590,56,0.5,9,0
Latvia,858,9,348,495,455,8,15,0
Cyprus,850,7,296,539,704,12,15,0
Albania,773,7,470,272,269,11,31,1
Honduras,771,33,79,621,78,7,71,5
Kyrgyzstan,746,17,462,276,114,1,8,0
Andorra,745,2,468,235,9642,544,42,0
Lebanon,725,4,150,551,106,4,24,0
Niger,719,6,452,235,30,1,32,0
Costa Rica,719,6,338,375,141,1,6,0
Diamond Princess,712,0,645,54,0,0,13,0
Sri Lanka,663,14,154,502,31,0.3,7,0
Burkina Faso,645,4,506,96,31,2,43,0
Uruguay,643,18,417,209,185,5,17,2
Somalia,601,19,31,542,38,2,28,0
Guatemala,585,28,65,504,33,0.9,16,0
DRC,572,81,65,476,6,0.3,31,1
San Marino,569,6,78,450,16769,1208,41,0
Georgia,539,22,184,349,135,2,6,0
Mayotte,539,79,235,300,1976,15,4,0
Channel Islands,537,0,386,111,3089,230,40,2
Mali,490,8,135,329,24,1,26,1
Tanzania,480,0,167,297,8,0.3,16,0
Maldives,468,190,17,450,866,2,1,0
Malta,465,2,351,110,1053,9,4,0
Jordan,453,2,362,83,44,0.8,8,0
Sudan,442,67,39,372,10,0.7,31,3
Taiwan,429,0,322,101,18,0.3,6,0
Réunion,420,0,300,120,469,0,0,0
Kenya,396,12,144,235,7,0.3,17,2
Jamaica,396,0,29,360,134,2,7,0
El Salvador,395,18,119,266,61,2,10,1
Palestine,344,0,76,266,67,0.4,2,0
